yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
18793,4.22,NaN,0.195,NaN,0.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010146998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18794,4.92,NaN,0.2,NaN,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012279567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18801,5.3,NaN,0.215,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01084615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18802,4.79,NaN,0.23,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010147442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18803,5.18,NaN,0.245,NaN,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009765022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18804,5.84,NaN,0.26,NaN,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011118084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18811,6.24,NaN,0.275,NaN,0.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01083879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18812,6.58,NaN,0.29,NaN,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008315367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18813,6.25,NaN,0.305,NaN,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009705885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18814,6.01,NaN,0.32,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012764588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18821,5.78,NaN,0.32,NaN,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011154946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18822,5.68,NaN,0.32,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009993112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18823,6.24,NaN,0.32,NaN,0.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011455751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18824,5.84,NaN,0.32,NaN,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012948189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18831,5.75,NaN,0.323,NaN,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011632626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18832,5.82,NaN,0.325,NaN,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011191681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18833,5.53,NaN,0.328,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010992994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18834,5.34,NaN,0.33,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011581297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18841,5.3,NaN,0.325,NaN,0.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009426743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18842,4.46,NaN,0.32,NaN,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01036069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18843,4.59,NaN,0.315,NaN,0.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011404869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18844,4.34,NaN,0.31,NaN,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010478464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18851,4.38,NaN,0.293,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008985343,NaN,NaN,NaN,0.003083579,NaN,NaN,NaN,NaN
18852,4.3,NaN,0.275,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0071749,NaN,NaN,NaN,0.004700622,NaN,NaN,NaN,NaN
18853,4.65,NaN,0.258,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006976144,NaN,NaN,NaN,0.007118587,NaN,NaN,NaN,NaN
18854,5.2,NaN,0.24,NaN,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008455543,NaN,NaN,NaN,0.008836114,NaN,NaN,NaN,NaN
18861,5.19,NaN,0.235,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00782265,NaN,NaN,NaN,0.005108911,NaN,NaN,NaN,NaN
