yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1906,9.84,0.400,0.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0458760274,NaN,NaN,NaN,NaN,0.0170919239,NaN,NaN,NaN,NaN
1907,6.57,0.440,0.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0517253422,NaN,NaN,NaN,NaN,0.0479790573,NaN,NaN,NaN,NaN
1908,9.03,0.400,0.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0343423475,NaN,NaN,NaN,NaN,0.0200521094,NaN,NaN,NaN,NaN
1909,10.30,0.440,0.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308549916,NaN,NaN,NaN,NaN,0.0100348557,NaN,NaN,NaN,NaN
1910,9.05,0.470,0.730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400087128,NaN,NaN,NaN,NaN,0.0189077751,NaN,NaN,NaN,NaN
1911,9.11,0.470,0.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0312903890,NaN,NaN,NaN,NaN,0.0077835738,NaN,NaN,NaN,NaN
1912,9.38,0.480,0.700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0376018731,NaN,NaN,NaN,NaN,0.0064542955,NaN,NaN,NaN,NaN
1913,8.04,0.480,0.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0450163426,0.0204081633,NaN,NaN,NaN,0.0106753434,NaN,NaN,NaN,NaN
1914,7.35,0.420,0.520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0380194692,0.0096360842,NaN,NaN,NaN,0.0116005586,NaN,NaN,NaN,NaN
1915,9.48,0.430,0.880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0261741390,0.0195142948,NaN,NaN,NaN,0.0191049431,NaN,NaN,NaN,NaN
1916,9.80,0.560,1.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259531726,0.1153545827,NaN,NaN,NaN,0.0178324743,NaN,NaN,NaN,NaN
1917,6.80,0.690,1.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0375587536,0.1825069844,NaN,NaN,NaN,0.0355615676,NaN,NaN,NaN,NaN
1918,7.90,0.570,0.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0475307609,0.2027714424,NaN,NaN,NaN,0.0153612580,NaN,NaN,NaN,NaN
