yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1993,466.45,12.580,21.890,0.3052672229,0.0306,0.0693,0.0769,0.0654,0.2677835735,0.0458527222,0.0299376077,0.0274381999,0.1441150718,0.1823458183,0.1318500400,0.0074178836,-0.0010124970,0.0341831571,0.0988631994,0.0686940197
1994,459.27,13.180,30.600,0.2915683000,0.0560,0.0846,0.0910,0.0799,0.2805990241,0.0166568397,0.0423892482,0.0267092579,0.1203902847,-0.0777707763,-0.0576106963,0.0096522847,-0.0005760069,0.0360802410,0.0134898769,-0.0146777142
1995,615.93,13.790,33.960,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.2618955013,0.0155830238,0.0547746316,0.0253413218,0.1212407197,0.3165649287,0.2720423547,0.0064271507,-0.0001466042,0.0370685343,0.3764439287,0.3424245015
1996,740.74,14.900,38.730,0.2073427297,0.0491,0.0720,0.0789,0.0673,0.2552387644,0.0232343481,0.0499541842,0.0331624202,0.1986658641,-0.0091845538,0.0140156703,0.0140776112,-0.0003967552,0.0393883126,0.2322871022,0.2054806711
1997,970.43,15.490,39.720,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.2379534746,0.0152869304,0.0505018881,0.0169991830,0.1427001167,0.1586593709,0.1294942161,0.0332000710,-0.0008887790,0.0412894775,0.3360388273,0.3127342597
1998,1229.23,16.200,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.2189316130,0.0198134820,0.0476713736,0.0161040738,0.1206586034,0.1307040369,0.1075556400,0.0412581206,-0.0010338728,0.0428014127,0.2932023216,0.2739323118
1999,1469.25,16.690,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,0.2029854074,0.0166377688,0.0462936183,0.0267892261,0.1384560500,-0.0898988411,-0.0745425946,0.0326778595,0.0000642780,0.0428954588,0.2134960629,0.1977440454
2000,1320.28,16.270,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,0.2237806857,-0.0053518165,0.0580259006,0.0337773832,0.1409895614,0.2149343724,0.1285453653,0.0492165643,-0.0005248530,0.0429646310,-0.0833822380,-0.0939324293
2001,1148.08,15.740,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.2422249753,0.0156393369,0.0338307654,0.0154373185,0.0865431157,0.0370275224,0.1063665718,0.0456056964,-0.0013361672,0.0365034007,-0.1188974385,-0.1306794382
2002,879.82,16.077,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.2470712990,0.0310384919,0.0160308120,0.0237148884,0.0820276580,0.1784139276,0.1664151752,0.0676923205,-0.0041443054,0.0328219422,-0.2177835444,-0.2306132599
2003,1111.92,17.385,48.740,0.2187695187,0.0090,0.0562,0.0660,0.0515,0.2220129878,0.0073950030,0.0101040301,0.0187551683,0.0724230891,0.0089593956,0.0527255506,0.0292607789,NaN,0.0333758952,0.2871510944,0.2641393125
2004,1211.92,19.440,58.550,0.2605951399,0.0219,0.0547,0.0615,0.0484,0.2186506846,0.0130463051,0.0138024075,0.0325556158,0.0782974619,0.0849731844,0.0872115434,0.0122914356,NaN,0.0344671074,0.1098358319,0.0874065097
2005,1248.29,22.220,69.930,0.3283414976,0.0389,0.0537,0.0632,0.0461,0.2243207784,0.0037358744,0.0319233948,0.0341565949,0.0510712081,0.0780755925,0.0587227306,0.0105405864,NaN,0.0350107696,0.0519734130,0.0327220538
